,ID,Date,plot_ID,r_mean,g_mean,b_mean,r_stdev,g_stdev,b_stdev
0,07_02_EL19_fill-1-1,07_02,EL19_fill-1-1,160.59071472205252,155.52168601099572,151.28833231521074,19.273697490450765,20.30287898193603,20.288052585656178
1,07_02_EL19_fill-1-2,07_02,EL19_fill-1-2,156.65091367359798,151.90044108380593,145.9294265910523,20.488741505610232,21.545667937363014,21.357966517952185
2,07_02_EL19_fill-1-3,07_02,EL19_fill-1-3,152.4228187919463,147.80648769574944,142.22706935123043,23.640380089695594,23.067127228108976,23.456919874687266
3,07_02_EL19_fill-1-4,07_02,EL19_fill-1-4,150.99845599588267,147.58260422027791,141.0900669068451,26.54899474987,24.599578965595633,25.750378580914166
4,07_02_EL19_fill-1-5,07_02,EL19_fill-1-5,138.42368801155513,139.11795859412615,129.99566682715454,30.95072809529709,25.82839563860249,28.75515335401689
5,07_02_EL19_fill-1-6,07_02,EL19_fill-1-6,145.76143226919757,143.80500431406384,137.37446074201898,26.375914256121916,24.020778140096585,25.484387801404957
6,07_02_EL19_fill-1-7,07_02,EL19_fill-1-7,142.78867459991793,141.46450553959787,135.03200656544934,27.68502591402074,25.08985641247301,26.562791607501186
7,07_02_EL19_fill-1-8,07_02,EL19_fill-1-8,141.48911103177437,141.8432702606212,134.8943234559086,27.162460425889698,23.763959774387754,25.720980317235668
8,07_02_EL19_fill-1-9,07_02,EL19_fill-1-9,151.7820359281437,149.63233532934132,145.1373253493014,24.759377089106312,23.493935564779672,24.521953065376184
9,07_02_EL19_fill-1-10,07_02,EL19_fill-1-10,149.5995841995842,147.45280665280666,143.38752598752598,25.365115835031016,23.976797345830335,25.13546349019116
10,07_02_EL19_fill-1-11,07_02,EL19_fill-1-11,140.88581588305018,140.98498617147374,135.67878308968787,27.354169576094016,24.36867221583997,26.06642359421126
11,07_02_EL19_fill-1-12,07_02,EL19_fill-1-12,142.42632170978627,143.11661042369704,137.9910011248594,28.430725960229097,24.692184012297513,27.033042103164433
12,07_02_EL19_fill-1-13,07_02,EL19_fill-1-13,131.925,135.58106060606062,128.53598484848484,34.5719515946019,29.78185595173066,32.446420587758354
13,07_02_EL19_fill-1-14,07_02,EL19_fill-1-14,141.58686730506156,142.55540355677155,137.35886912904698,32.33142483456619,28.148034107527756,30.56380613464032
14,07_02_EL19_fill-1-15,07_02,EL19_fill-1-15,137.69436201780417,138.48269040553907,133.11523244312562,28.27008983153624,24.385682301675597,26.74715438341928
15,07_02_EL19_fill-1-16,07_02,EL19_fill-1-16,138.77533039647577,140.2,134.60396475770926,29.23366312522107,24.43280962118378,27.413367402561256
16,07_02_EL19_fill-1-17,07_02,EL19_fill-1-17,132.97410358565736,136.91115537848606,130.22071713147412,33.26128379803782,27.544921009786783,31.216045548480324
